		InferType: 67,445us [67,445us] (0.09%; 4.39%)
		InferType: 67,080us [67,080us] (0.09%; 4.37%)
		InferType: 66,827us [66,827us] (0.09%; 4.35%)
		InferType: 67,496us [67,496us] (0.09%; 4.39%)
		InferType: 67,251us [67,251us] (0.09%; 4.38%)
		InferType: 67,396us [67,396us] (0.09%; 4.39%)
		InferType: 67,862us [67,862us] (0.09%; 4.42%)
		InferType: 67,681us [67,681us] (0.09%; 4.41%)
		InferType: 67,375us [67,375us] (0.09%; 4.39%)
		InferType: 67,901us [67,901us] (0.09%; 4.42%)
		InferType: 67,299us [67,299us] (0.09%; 4.38%)
		InferType: 67,853us [67,853us] (0.09%; 4.42%)
		InferType: 67,487us [67,487us] (0.09%; 4.39%)
	AnnotateTarget: 267,171us [62us] (0.37%; 0.37%)
		InferType: 71,674us [71,674us] (0.10%; 26.83%)
		AnnotateTargetFunc: 108,640us [22,530us] (0.15%; 40.66%)
			InferType: 86,110us [86,110us] (0.12%; 79.26%)
		InferType: 86,797us [86,797us] (0.12%; 32.49%)
	sequential: 58,401,763us [99us] (80.83%; 80.83%)
		FlattenNestedTuples: 97,486us [11,137us] (0.13%; 0.17%)
			InferType: 86,349us [86,349us] (0.12%; 88.58%)
		RemoveDefaultAnnotations: 97,793us [11,994us] (0.14%; 0.17%)
			InferType: 85,799us [85,799us] (0.12%; 87.74%)
		PartitionGraph: 58,099,693us [767,967us] (80.41%; 99.48%)
			InferType: 88,419us [88,419us] (0.12%; 0.15%)
			InferType: 87,700us [87,700us] (0.12%; 0.15%)
			InferType: 88,261us [88,261us] (0.12%; 0.15%)
			InferType: 88,098us [88,098us] (0.12%; 0.15%)
			InferType: 88,285us [88,285us] (0.12%; 0.15%)
			InferType: 129,117us [129,117us] (0.18%; 0.22%)
			InferType: 89,191us [89,191us] (0.12%; 0.15%)
			InferType: 93,673us [93,673us] (0.13%; 0.16%)
			InferType: 99,776us [99,776us] (0.14%; 0.17%)
			InferType: 108,751us [108,751us] (0.15%; 0.19%)
			InferType: 90,943us [90,943us] (0.13%; 0.16%)
			InferType: 90,803us [90,803us] (0.13%; 0.16%)
			InferType: 90,561us [90,561us] (0.13%; 0.16%)
			InferType: 91,110us [91,110us] (0.13%; 0.16%)
			InferType: 91,121us [91,121us] (0.13%; 0.16%)
			InferType: 90,567us [90,567us] (0.13%; 0.16%)
			InferType: 90,890us [90,890us] (0.13%; 0.16%)
			InferType: 92,076us [92,076us] (0.13%; 0.16%)
			InferType: 91,314us [91,314us] (0.13%; 0.16%)
			InferType: 92,667us [92,667us] (0.13%; 0.16%)
			InferType: 93,013us [93,013us] (0.13%; 0.16%)
			InferType: 93,032us [93,032us] (0.13%; 0.16%)
			InferType: 92,256us [92,256us] (0.13%; 0.16%)
			InferType: 92,664us [92,664us] (0.13%; 0.16%)
			InferType: 114,875us [114,875us] (0.16%; 0.20%)
			InferType: 106,848us [106,848us] (0.15%; 0.18%)
			InferType: 93,440us [93,440us] (0.13%; 0.16%)
			InferType: 96,943us [96,943us] (0.13%; 0.17%)
			InferType: 131,113us [131,113us] (0.18%; 0.23%)
			InferType: 94,311us [94,311us] (0.13%; 0.16%)
			InferType: 93,934us [93,934us] (0.13%; 0.16%)
			InferType: 95,165us [95,165us] (0.13%; 0.16%)
			InferType: 94,826us [94,826us] (0.13%; 0.16%)
			InferType: 95,034us [95,034us] (0.13%; 0.16%)
			InferType: 95,436us [95,436us] (0.13%; 0.16%)
			InferType: 95,410us [95,410us] (0.13%; 0.16%)
			InferType: 99,956us [99,956us] (0.14%; 0.17%)
			InferType: 95,751us [95,751us] (0.13%; 0.16%)
			InferType: 95,746us [95,746us] (0.13%; 0.16%)
			InferType: 95,995us [95,995us] (0.13%; 0.17%)
			InferType: 96,064us [96,064us] (0.13%; 0.17%)
			InferType: 96,292us [96,292us] (0.13%; 0.17%)
			InferType: 96,673us [96,673us] (0.13%; 0.17%)
			InferType: 96,379us [96,379us] (0.13%; 0.17%)
			InferType: 110,269us [110,269us] (0.15%; 0.19%)
			InferType: 103,035us [103,035us] (0.14%; 0.18%)
			InferType: 97,118us [97,118us] (0.13%; 0.17%)
			InferType: 97,757us [97,757us] (0.14%; 0.17%)
			InferType: 97,611us [97,611us] (0.14%; 0.17%)
			InferType: 97,598us [97,598us] (0.14%; 0.17%)
			InferType: 98,540us [98,540us] (0.14%; 0.17%)
			InferType: 97,881us [97,881us] (0.14%; 0.17%)
			InferType: 98,314us [98,314us] (0.14%; 0.17%)
			InferType: 98,441us [98,441us] (0.14%; 0.17%)
			InferType: 98,701us [98,701us] (0.14%; 0.17%)
			InferType: 99,068us [99,068us] (0.14%; 0.17%)
			InferType: 99,153us [99,153us] (0.14%; 0.17%)
			InferType: 99,492us [99,492us] (0.14%; 0.17%)
			InferType: 100,442us [100,442us] (0.14%; 0.17%)
			InferType: 100,368us [100,368us] (0.14%; 0.17%)
			InferType: 99,845us [99,845us] (0.14%; 0.17%)
			InferType: 99,995us [99,995us] (0.14%; 0.17%)
			InferType: 99,285us [99,285us] (0.14%; 0.17%)
			InferType: 100,091us [100,091us] (0.14%; 0.17%)
			InferType: 99,466us [99,466us] (0.14%; 0.17%)
			InferType: 101,314us [101,314us] (0.14%; 0.17%)
			InferType: 101,151us [101,151us] (0.14%; 0.17%)
			InferType: 101,029us [101,029us] (0.14%; 0.17%)
			InferType: 101,619us [101,619us] (0.14%; 0.17%)
			InferType: 103,638us [103,638us] (0.14%; 0.18%)
			InferType: 102,524us [102,524us] (0.14%; 0.18%)
			InferType: 102,424us [102,424us] (0.14%; 0.18%)
			InferType: 102,556us [102,556us] (0.14%; 0.18%)
			InferType: 102,749us [102,749us] (0.14%; 0.18%)
			InferType: 102,740us [102,740us] (0.14%; 0.18%)
			InferType: 102,977us [102,977us] (0.14%; 0.18%)
			InferType: 103,186us [103,186us] (0.14%; 0.18%)
			InferType: 103,255us [103,255us] (0.14%; 0.18%)
			InferType: 103,919us [103,919us] (0.14%; 0.18%)
			InferType: 131,549us [131,549us] (0.18%; 0.23%)
			InferType: 114,389us [114,389us] (0.16%; 0.20%)
			InferType: 104,008us [104,008us] (0.14%; 0.18%)
			InferType: 104,953us [104,953us] (0.15%; 0.18%)
			InferType: 104,860us [104,860us] (0.15%; 0.18%)
			InferType: 122,872us [122,872us] (0.17%; 0.21%)
			InferType: 104,025us [104,025us] (0.14%; 0.18%)
			InferType: 105,439us [105,439us] (0.15%; 0.18%)
			InferType: 105,315us [105,315us] (0.15%; 0.18%)
			InferType: 105,426us [105,426us] (0.15%; 0.18%)
			InferType: 105,044us [105,044us] (0.15%; 0.18%)
			InferType: 106,220us [106,220us] (0.15%; 0.18%)
			InferType: 106,489us [106,489us] (0.15%; 0.18%)
			InferType: 107,110us [107,110us] (0.15%; 0.18%)
			InferType: 106,894us [106,894us] (0.15%; 0.18%)
			InferType: 107,383us [107,383us] (0.15%; 0.18%)
			InferType: 108,037us [108,037us] (0.15%; 0.19%)
			InferType: 107,981us [107,981us] (0.15%; 0.19%)
			InferType: 107,650us [107,650us] (0.15%; 0.19%)
			InferType: 107,539us [107,539us] (0.15%; 0.19%)
			InferType: 108,438us [108,438us] (0.15%; 0.19%)
			InferType: 108,268us [108,268us] (0.15%; 0.19%)
			InferType: 108,061us [108,061us] (0.15%; 0.19%)
			InferType: 108,110us [108,110us] (0.15%; 0.19%)
			InferType: 108,552us [108,552us] (0.15%; 0.19%)
			InferType: 147,815us [147,815us] (0.20%; 0.25%)
			InferType: 108,031us [108,031us] (0.15%; 0.19%)
			InferType: 109,098us [109,098us] (0.15%; 0.19%)
			InferType: 109,182us [109,182us] (0.15%; 0.19%)
			InferType: 108,397us [108,397us] (0.15%; 0.19%)
			InferType: 108,423us [108,423us] (0.15%; 0.19%)
			InferType: 108,998us [108,998us] (0.15%; 0.19%)
			InferType: 109,480us [109,480us] (0.15%; 0.19%)
			InferType: 113,943us [113,943us] (0.16%; 0.20%)
			InferType: 129,689us [129,689us] (0.18%; 0.22%)
			InferType: 111,311us [111,311us] (0.15%; 0.19%)
